name,birth_year,birth_month,birth_day,known_facts,wikipedia_name
大谷翔平,1994,7,5,投手と打者を両立する二刀流で世界的スターになった|幼少期から野球一筋で努力家として知られる|チームを引っ張るリーダーシップがある|冷静沈着でプレッシャーに強い,大谷翔平
羽生結弦,1994,12,7,孤高の天才として知られ常人離れした集中力を持つ|怪我を乗り越え何度も復活する不屈の精神|芸術性と競技性を両立させた|ファンへの献身が深い,羽生結弦
新垣結衣,1988,6,11,清楚で親しみやすいイメージが国民的女優の地位を確立|仕事への誠実さと謙虚さで知られる|長年の交際を経て結婚した星野源との関係が話題に,新垣結衣
木村拓哉,1972,11,13,カリスマ的な存在感で時代を作ったエンターテイナー|SMAPを牽引し日本のトップアイドルとして君臨|どんな役も自分色に染める強い個性,木村拓哉
浜崎あゆみ,1978,10,2,自身の経験を赤裸々に歌詞にして共感を集めた|逆境を何度も乗り越えてきたサバイバー精神|独自の世界観でJ-POPの女王として君臨,浜崎あゆみ
菅田将暉,1993,2,21,多彩な役を演じ分けるカメレオン俳優|音楽活動でも成功し表現の幅が広い|直感的に生きるアーティスト気質,菅田将暉
石原さとみ,1986,12,24,愛される才能と強い意志を持つ女優|さまざまなジャンルの作品で主演を張る|仕事への情熱と努力で一流の地位を確立,石原さとみ
藤井聡太,2002,7,19,前人未踏の快挙を次々と打ち立てる天才|冷静な分析力と直感が融合した棋風|年齢に関係なく実力で頂点を目指す姿勢,藤井聡太
橋本環奈,1999,2,3,一枚の写真から話題になった奇跡の人|人懐っこい性格でバラエティでも活躍|愛されキャラで幅広い世代に支持される,橋本環奈
宇多田ヒカル,1983,1,19,デビュー時から天才と称された音楽の才能|内省的で深い歌詞が世代を超えて刺さる|母の死など人生の試練が音楽に昇華されている,宇多田ヒカル
安室奈美恵,1977,9,20,カリスマ的な存在感でJ-POPとファッションを牽引|シングルマザーとして苦労しながら頂点に立った|引退後も伝説として語り継がれる,安室奈美恵
北野武,1947,1,18,コメディアンから映画監督まで異なる顔を持つ|バイク事故を乗り越え新たな境地を開いた|鋭い社会批評と独特のユーモアを持つ,北野武
松本人志,1963,9,8,笑いの天才として日本のお笑いを変えた存在|繊細な感受性と鋭い観察眼を持つ|強がりの裏に孤独を抱えるアーティスト気質,松本人志
中居正広,1972,8,18,場の空気を読む天才的な司会進行力|人との繋がりを大切にする義理人情タイプ|グループを支えるまとめ役として長年活躍,中居正広
星野源,1981,1,28,俳優・音楽・文筆と複数の才能を持つマルチクリエイター|重病を乗り越えて復活した不屈の人|日常の中に深みを見出すアーティスト気質,星野源
